,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
1,n-n-1,nocoord,1,12,13,77,2.1899370153173354,2.0699492710668057,0.45674,-0.44516,-0.39852,0.13318,-0.04664,0.1199877442505297,-1045.51434726,0.276214
3,n-n-2,nocoord,1,12,13,77,2.1703263732549534,2.0721118980537705,0.49421,-0.41997,-0.3975,0.13923,-0.0224699999999999,0.0982144752011828,-1084.79387781,0.302791
5,n-n-3,nocoord,1,12,13,77,2.17737368702274,2.074869566423875,0.49349,-0.4217,-0.39797,0.15312,-0.02373,0.1025041205988648,-970.286056272,0.272689
7,n-n-4,nocoord,1,12,13,77,2.166085787702094,2.0744752014109498,0.48133,-0.43169,-0.39668,0.14574,-0.03501,0.0916105862911442,-1206.0679086,0.430058
9,n-n-5,nocoord,1,2,12,79,2.181435402661743,2.08130218142633,0.4933,-0.4337,-0.40167,0.16768,-0.0320299999999999,0.1001332212354131,-929.822076662,0.229548
11,p-p-1,nocoord,58,7,8,85,2.4216508776398795,2.26983736191825,0.0298,1.05375,1.24044,0.17512,-0.18669,0.1518135157216296,-2045.9579764,0.455804
13,p-p-2,nocoord,1,2,3,90,2.4258805801419823,2.277642566752957,0.04242,1.04759,1.22754,0.1760199999999999,-0.17995,0.1482380133890251,-2085.25538202,0.482644
15,p-p-3,nocoord,78,10,11,92,2.441465277630833,2.3020198144101625,0.16457,1.00995,1.18212,0.16375,-0.1721700000000001,0.1394454632206705,-2543.27945643,0.607263
17,p-p-4,nocoord,65,25,26,101,2.416731051520008,2.269157892214863,0.06011,1.03053,1.19386,0.15541,-0.1633299999999999,0.1475731593051441,-1974.57467862,0.522491
19,p-so-1,nocoord,46,1,5,92,2.4557321043996225,2.072498080726011,0.3846,1.02659,-0.92891,0.16132,1.9555,0.3832340236736113,-2246.86379187,0.378376
21,p-so-10,nocoord,34,1,5,91,2.450431717892584,2.077425113935277,0.37271,1.02339,-0.92524,0.16279,1.94863,0.3730066039573065,-2246.85968341,0.380062
23,p-so-11,nocoord,32,1,5,90,2.4468839123828494,2.095964852513992,0.38192,1.0073,-0.94618,0.1599499999999999,1.95348,0.3509190598688572,-2477.82326303,0.455981
25,p-so-12,nocoord,32,1,5,90,2.4564363591799,2.099200438595848,0.38782,1.00116,-0.94936,0.1543199999999999,1.95052,0.3572359205840518,-2592.33287711,0.486219
27,p-so-13,nocoord,26,1,5,91,2.435182862529219,2.073417662371477,0.35518,1.03719,-0.92199,0.16182,1.95918,0.361765200157742,-2021.47261303,0.386678
29,p-so-14,nocoord,16,1,5,92,2.447970434933396,2.0653413770352835,0.34774,1.03783,-0.92068,0.1647799999999999,1.95851,0.3826290578981126,-2025.09545819,0.454825
31,p-so-15,nocoord,16,1,5,92,2.447597286901789,2.0667512118581177,0.3483,1.00753,-0.91989,0.16564,1.92742,0.3808460750436717,-1791.71619454,0.328771
33,p-so-16,nocoord,50,19,67,83,2.4408418092742106,2.085705219901892,0.38954,1.04629,-0.93499,0.15281,1.98128,0.3551365893723188,-2525.10884981,0.442901
35,p-so-2,nocoord,36,1,6,90,2.4372714921364422,2.0766750371374907,0.35813,1.01701,-0.92319,0.16396,1.9402,0.3605964549989515,-2017.84418769,0.319496
37,p-so-3,nocoord,34,1,5,92,2.436920435299848,2.0733909416735665,0.36664,1.02116,-0.92906,0.16216,1.95022,0.3635294936262814,-2325.45997441,0.434362
39,p-so-4,nocoord,34,1,5,92,2.426524348536606,2.075307731350461,0.37399,1.02255,-0.93101,0.16122,1.95356,0.3512166171861444,-2404.06165331,0.487693
41,p-so-5,nocoord,33,1,6,82,2.435498319146618,2.087429853005844,0.3313,1.01286,-0.9245,0.15929,1.93736,0.348068466140774,-2135.74332594,0.396053
43,p-so-6,nocoord,26,1,5,88,2.4522637109497416,2.0896136573218507,0.37592,1.01522,-0.94169,0.16332,1.95691,0.3626500536278909,-2094.50364873,0.360531
45,p-so-7,nocoord,33,1,5,92,2.449121861848855,2.068802183582567,0.36181,0.99715,-0.92503,0.16385,1.92218,0.3803196782662876,-2096.43879984,0.372108
47,p-so-8,nocoord,34,1,5,92,2.471977590624357,2.0743840156068014,0.3936,1.01948,-0.93047,0.15928,1.94995,0.3975935750175554,-2475.86960313,0.440933
49,p-so-9,nocoord,32,1,5,91,2.443989425826961,2.073855535206587,0.34966,1.03372,-0.92314,0.15653,1.95686,0.3701338906203744,-2246.86588528,0.377032
51,pcpo-1,nocoord,1,2,60,87,2.4717015111594685,2.10902437995605,0.36223,1.00062,-1.03557,0.1637799999999999,2.0361900000000004,0.3626771312034185,-2081.89043301,0.431399
53,pcpo-2,nocoord,1,2,60,88,2.470235334201784,2.097339512262619,0.37023,1.00022,-1.03742,0.1615,2.03764,0.3728958219391654,-2121.18676607,0.457344
55,pcpo-3,nocoord,1,2,60,84,2.456766697933282,2.084669888891764,0.36319,1.00377,-1.03428,0.16136,2.03805,0.3720968090415177,-2160.48641097,0.487791
57,pnpo-1,nocoord,77,1,2,86,2.479634441178981,2.115228141084077,0.40412,1.19148,-1.03763,0.12958,2.2291100000000004,0.3644063000949042,-2691.85298619,0.624748
59,pnpo-10,nocoord,58,1,2,88,2.494281462533248,2.110297005501358,0.41819,1.1669,-1.05353,0.15164,2.2204300000000003,0.38398445703189,-2903.39156038,0.663676
61,pnpo-11,nocoord,58,1,2,87,2.493747095815652,2.105725485453885,0.4194,1.16727,-1.05558,0.15388,2.22285,0.3880216103617671,-2946.06951949,0.741036
63,pnpo-12,nocoord,58,1,2,87,2.499938472420672,2.109507628714577,0.42168,1.16403,-1.05742,0.1425,2.22145,0.3904308437060941,-3017.90108875,0.694624
65,pnpo-13,nocoord,58,1,2,87,2.4904614180530884,2.105834784604196,0.42229,1.16889,-1.05781,0.12549,2.2267,0.3846266334488923,-3037.31749237,0.732861
67,pnpo-2,nocoord,58,1,2,85,2.4389920352672334,2.109668127374777,0.41588,1.19658,-1.04743,0.12738,2.2440100000000003,0.3293239078924559,-2922.81260143,0.703092
69,pnpo-3,nocoord,68,1,2,84,2.4371931978919927,2.092903639709196,0.3956,1.21302,-1.0452,0.15256,2.25822,0.3442895581827967,-2672.43700502,0.588646
71,pnpo-4,nocoord,68,1,2,85,2.435087735594141,2.09224771516998,0.39735,1.21866,-1.04545,0.13104,2.26411,0.3428400204241613,-2920.86536798,0.685439
73,pnpo-5,nocoord,68,1,2,86,2.483561682439355,2.116509601998063,0.40636,1.19144,-1.03616,0.16154,2.2276,0.367052080441292,-2557.92846335,0.558947
